Issue ID,Issue Title,Description,Issue URL,Project,Status,Priority,Component,Version,Created,wcag_sc,ai_wcag,acr_note,dev_note
3232414,Image Media thumbnail alt text cannot be changed without reuploading the image,Image Media thumbnail alt text cannot be changed without reuploading the image,https://www.drupal.org/project/drupal/issues/3232414,drupal,Needs work,Normal,media system,11.x-dev,4 years 3 months,1.1.1,1.1.1,Users with disabilities relying on screen readers may be unable to accurately describe images displayed as thumbnails due to the lack of editable alternative text. This creates a barrier to understanding the content and effectively utilizing the image media.,"This issue indicates a critical accessibility problem. The current system prevents users from providing descriptive alt text for thumbnails, directly violating WCAG 1.1.1 Level A guidelines regarding text alternatives for non-text content."
3338664,Automated A11y tests in PHPUnit,Automated A11y tests in PHPUnit,https://www.drupal.org/project/drupal/issues/3338664,drupal,Needs work,Major,other,11.x-dev,2 years 10 months,General,General,Users with disabilities may encounter difficulties accessing content if the automated A11y tests in PHPUnit do not adequately identify and report accessibility issues within the application. This could lead to a reduced user experience for individuals relying on assistive technologies.,"This issue description, “Automated A11y tests in PHPUnit,” is extremely vague and requires significant clarification. It’s not an issue itself, but rather a *method* of testing. The focus should be on *what* the tests are checking and *what* issues they’re uncovering. To move this forward, the development team needs to:"
3348552,"Pager template fails accessibility tests for Ellipsis (""..."")","Pager template fails accessibility tests for Ellipsis (""..."")",https://www.drupal.org/project/drupal/issues/3348552,drupal,Reviewed & tested by the community,Normal,theme system,11.x-dev,2 years 9 months,4.1.2,4.1.2,Users relying on screen readers may experience difficulty interpreting the pagination controls within the Pager template due to the absence of appropriate visual cues and semantic structure. This can impede their ability to navigate and understand the number of pages available.,"The issue report indicates a failure of accessibility tests related to the ellipsis (""..."") used in the Pager template. This likely stems from a lack of semantic HTML and/or insufficient ARIA attributes to convey the pagination state to screen reader users."
2951317,"Radios element missing ""required"" attribute","Radios element missing ""required"" attribute",https://www.drupal.org/project/drupal/issues/2951317,drupal,Needs work,Normal,render system,11.x-dev,7 years 9 months,1.3.1,1.3.1,"Users relying on screen readers may be unable to determine if a radio button group is required, potentially leading to incorrect selections and frustration. The absence of a clearly communicated requirement hinders usability and could result in data inaccuracies.","The reported issue – the missing “required” attribute on radio buttons – does not inherently create an accessibility barrier. WCAG does not dictate a specific attribute to enforce requirement for radio buttons; instead, it relies on clear visual and programmatic cues. To address this, focus on providing clear visual indicators of required fields, such as a red asterisk or a distinct styling change when a radio button is selected.  More importantly, ensure the form itself is properly associated with a submission target, and that the submission process explicitly validates that all required fields have been populated. If the requirement is part of a larger form, ensure the form’s overall required status is clearly conveyed.  If there are programmatic requirements, utilize form validation techniques (client-side and server-side) to enforce the requirement. Avoid using ARIA attributes to mimic “required” as this can conflict with screen reader behavior and is generally considered bad practice."
2975863,Add an exposed filter to the Taxonomy overview view page,Add an exposed filter to the Taxonomy overview view page,https://www.drupal.org/project/drupal/issues/2975863,drupal,Needs work,Normal,taxonomy.module,11.x-dev,7 years 6 months,1.4.1,1.4.1,"Users may be unable to effectively filter and refine the Taxonomy overview view page if a filter mechanism is not implemented. This limits their ability to locate specific information within the taxonomy, potentially leading to confusion and frustration.","The request to add an exposed filter to the Taxonomy overview view suggests a need to improve the user’s ability to narrow down the displayed items.  The first step is to assess whether a native HTML filter control (e.g., `<select>`, `<input type=""search"">`) can achieve the desired functionality."
3426798,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,https://www.drupal.org/project/drupal/issues/3426798,drupal,Needs work,Normal,ckeditor5.module,11.x-dev,1 year 9 months,3.3.2,3.3.2,"Users who rely on screen readers may experience difficulty identifying and operating the CKEditor 5 text area due to a lack of a clear, descriptive `aria-label` attribute. This creates a barrier to accessing and interacting with the text editing component.",The reported issue indicates a missing or inadequate `aria-label` for the CKEditor 5 text area. The primary solution is to ensure the text area element has a meaningful `aria-label` attribute that accurately describes its function.
3559162,Accessing a toolbar sub-menu seems to result in a keyboard trap,Accessing a toolbar sub-menu seems to result in a keyboard trap,https://www.drupal.org/project/drupal/issues/3559162,drupal,Active,Normal,ckeditor5.module,11.x-dev,1 month 1 day,2.1.2,2.1.2,Users may be unable to navigate away from a toolbar sub-menu when using a keyboard. This prevents keyboard users from continuing their task or accessing other parts of the application.,This issue likely indicates a lack of proper keyboard trap handling within the toolbar sub-menu implementation.  The primary focus should be on ensuring the sub-menu's focus management correctly allows for navigation away after selection.
1797438,HTML5 validation is preventing form submit and not fully accessible,HTML5 validation is preventing form submit and not fully accessible,https://www.drupal.org/project/drupal/issues/1797438,drupal,Needs work,Major,forms system,11.x-dev,13 years 2 months,3.3.1,3.3.1,"The reported issue indicates a form submission failure potentially caused by HTML5 validation preventing successful form submission. This could result in users being unable to complete a task, leading to frustration and a negative user experience. The accessibility barrier relates to the form’s usability and the user’s ability to interact with the application.",The issue description is extremely vague and requires investigation.  The primary concern is that HTML5 validation is preventing form submission.  This suggests one of several possibilities:
893530,Multi level (multirow) header for table FAPI element,Multi level (multirow) header for table FAPI element,https://www.drupal.org/project/drupal/issues/893530,drupal,Needs review,Normal,theme system,11.x-dev,15 years 4 months,1.3.1,1.3.1,"Users relying on screen readers may experience difficulty interpreting tabular data when multiple header rows are combined into a single, complex structure. This can hinder their ability to understand the relationships between columns and data within the table, leading to a reduced understanding of the table’s content.",The issue describes a problematic table structure where multiple header rows are nested within a single FAPI element. This violates WCAG guidelines regarding tabular data presentation. The core accessibility barrier is a lack of proper semantic structure. Developers should:
2912732,Table Drag always showing lines,Table Drag always showing lines,https://www.drupal.org/project/drupal/issues/2912732,drupal,Active,Normal,javascript,11.x-dev,8 years 2 months,General,General,"Users may perceive a visual disruption when table drag functionality consistently displays lines, potentially impacting readability and usability. The precise impact depends on the design and context of the table.",The reported issue – “Table Drag always showing lines” – suggests a visual styling conflict during table drag interactions. This is likely related to CSS layering or styling applied during the drag operation.
