Issue ID,Issue Title,Description,Issue URL,Project,Status,Priority,Component,Version,Created,wcag_sc,ai_wcag,acr_note,dev_note,thread_tldr,thread_problem,thread_sentiment,thread_timeline,thread_links
3232414,Image Media thumbnail alt text cannot be changed without reuploading the image,Image Media thumbnail alt text cannot be changed without reuploading the image,https://www.drupal.org/project/drupal/issues/3232414,drupal,Needs work,Normal,media system,11.x-dev,4 years 3 months,1.1.1,1.1.1,Users with disabilities relying on screen readers may be unable to accurately describe images displayed as thumbnails due to the lack of editable alternative text. This creates a barrier to understanding the content and effectively utilizing the image media.,"This issue indicates a critical accessibility problem. The current system prevents users from providing descriptive alt text for thumbnails, directly violating WCAG 1.1.1 Level A guidelines regarding text alternatives for non-text content.","The thumbnail alt text for image media cannot be changed without reuploading, causing accessibility issues for screen reader users who cannot determine the image content. A patch applying a one-line change has been submitted to Drupal 10, but it requires review and testing.","Initial report only. Users relying on screen readers are unable to access the alt text for image media thumbnails, preventing them from understanding the content of the images. Several contributors have discussed the issue, with a recent patch submitted to Drupal 10 which modifies the image upload process to allow alt text changes. However, no testing has occurred and the patch's suitability remains uncertain. No evidence of follow-up or resolution.",Minimal engagement,#1 sourav_paul: Initial report filed. #2 smustgrave: Suggested testing.,- [WCAG 1.1.1 - Non-text Content](https://www.w3.org/WAI/WCAG21/Understanding/non-text-content.html): Relevant WCAG success criterion.
3338664,Automated A11y tests in PHPUnit,Automated A11y tests in PHPUnit,https://www.drupal.org/project/drupal/issues/3338664,drupal,Needs work,Major,other,11.x-dev,2 years 10 months,General,General,Users with disabilities may encounter difficulties accessing content if the automated A11y tests in PHPUnit do not adequately identify and report accessibility issues within the application. This could lead to a reduced user experience for individuals relying on assistive technologies.,"This issue description, “Automated A11y tests in PHPUnit,” is extremely vague and requires significant clarification. It’s not an issue itself, but rather a *method* of testing. The focus should be on *what* the tests are checking and *what* issues they’re uncovering. To move this forward, the development team needs to:",The automated accessibility tests are stalled due to a recent re-evaluation and need a rebase to incorporate the latest changes. The issue is awaiting review and a more detailed assessment of the current test setup.,"The automated accessibility tests have been removed from the codebase, but the yarnnightwatch-axe-verbose dependency remains.  @mstrelan identified the need for #[RunTestsInSeparateProcesses] attributes on the new test classes, and the status is now ""Needs work.""",Minimal engagement,#31 kstrelan: Identified need for #[RunTestsInSeparateProcesses] on new test classes.,- [WCAG 2.2 Level AA](https://www.w3.org/WAI/WCAG22/): Accessibility guidelines.
3348552,"Pager template fails accessibility tests for Ellipsis (""..."")","Pager template fails accessibility tests for Ellipsis (""..."")",https://www.drupal.org/project/drupal/issues/3348552,drupal,Reviewed & tested by the community,Normal,theme system,11.x-dev,2 years 9 months,4.1.2,4.1.2,Users relying on screen readers may experience difficulty interpreting the pagination controls within the Pager template due to the absence of appropriate visual cues and semantic structure. This can impede their ability to navigate and understand the number of pages available.,"The issue report indicates a failure of accessibility tests related to the ellipsis (""..."") used in the Pager template. This likely stems from a lack of semantic HTML and/or insufficient ARIA attributes to convey the pagination state to screen reader users.",The ellipsis in the pager template violates WCAG 2.2.3 (No heading level skipped) by creating a low-perceivable navigation experience. The issue is currently under review and awaiting a solution.,"Initial report only. The issue was reported by a user, and the proposed solution was a patch that added an aria-label to the ellipsis. However, the design system guidelines (USWDS) recommend using the standard pagination component with semantic HTML, effectively bypassing the need for an aria-label in this context. No further discussion or testing has occurred since the initial report.",Minimal engagement,#1 user: Filed initial accessibility report.,- [USWDS Pagination](https://design-system.service.gov.uk/components/pagination/) - [WCAG 2.2.3 No heading level skipped](https://www.w3.org/WAI/WCAG22/Understanding/headings-and-text.html)
2951317,"Radios element missing ""required"" attribute","Radios element missing ""required"" attribute",https://www.drupal.org/project/drupal/issues/2951317,drupal,Needs work,Normal,render system,11.x-dev,7 years 9 months,1.3.1,1.3.1,"Users relying on screen readers may be unable to determine if a radio button group is required, potentially leading to incorrect selections and frustration. The absence of a clearly communicated requirement hinders usability and could result in data inaccuracies.","The reported issue – the missing “required” attribute on radio buttons – does not inherently create an accessibility barrier. WCAG does not dictate a specific attribute to enforce requirement for radio buttons; instead, it relies on clear visual and programmatic cues. To address this, focus on providing clear visual indicators of required fields, such as a red asterisk or a distinct styling change when a radio button is selected.  More importantly, ensure the form itself is properly associated with a submission target, and that the submission process explicitly validates that all required fields have been populated. If the requirement is part of a larger form, ensure the form’s overall required status is clearly conveyed.  If there are programmatic requirements, utilize form validation techniques (client-side and server-side) to enforce the requirement. Avoid using ARIA attributes to mimic “required” as this can conflict with screen reader behavior and is generally considered bad practice.","The ""required"" attribute was removed from the radio element, creating a potential accessibility issue for users relying on form validation. The issue is currently stalled with no recent activity.","An assertion for the `fieldgroupattribute` was removed by commit `b0953653` between comments #85 and #86. This means the attribute, which was previously tested and deemed functional, is now untested and potentially broken. No evidence of follow-up or resolution exists.",Stalled (no recent activity),#85 acbramley: Issue summary updated. #86 needs-review-queue-bot: Status: Needs work. #97 deepakkm: made their first commit to this issue’s fork. #98 acbramley: Issue summary updated.,- [WCAG 2.2 Level AA](https://www.w3.org/TR/WCAG22/): Accessibility guidelines. - [ARIA Specifications](https://w3.org/TR/wai-aria/):  Accessible Rich Internet Applications.
2975863,Add an exposed filter to the Taxonomy overview view page,Add an exposed filter to the Taxonomy overview view page,https://www.drupal.org/project/drupal/issues/2975863,drupal,Needs work,Normal,taxonomy.module,11.x-dev,7 years 6 months,1.4.1,1.4.1,"Users may be unable to effectively filter and refine the Taxonomy overview view page if a filter mechanism is not implemented. This limits their ability to locate specific information within the taxonomy, potentially leading to confusion and frustration.","The request to add an exposed filter to the Taxonomy overview view suggests a need to improve the user’s ability to narrow down the displayed items.  The first step is to assess whether a native HTML filter control (e.g., `<select>`, `<input type=""search"">`) can achieve the desired functionality.","The taxonomy filter feature allows users to filter taxonomy terms, but doesn't currently support translation of those terms. The issue is currently awaiting a product manager review to determine the best course of action.","A product manager (rkol) has identified a need for the taxonomy filter to handle translated taxonomy terms.  Initial reports suggest the feature works for untranslated terms, but lacks support for translations. No recent testing or refinement activity observed.",Minimal engagement,"#1 rkol: Reviewing as core product manager. I really like this feature, it would have saved me when editing big tag vocabularies. I also applaud the attention to accessibility details too. #2 rkol: I agree with @rkol. #3 rpayanm: made their first commit to this issue’s fork.",- [WCAG 2.2 Level AA](https://www.w3.org/TR/WCAG22/)
3426798,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,https://www.drupal.org/project/drupal/issues/3426798,drupal,Needs work,Normal,ckeditor5.module,11.x-dev,1 year 9 months,3.3.2,3.3.2,"Users who rely on screen readers may experience difficulty identifying and operating the CKEditor 5 text area due to a lack of a clear, descriptive `aria-label` attribute. This creates a barrier to accessing and interacting with the text editing component.",The reported issue indicates a missing or inadequate `aria-label` for the CKEditor 5 text area. The primary solution is to ensure the text area element has a meaningful `aria-label` attribute that accurately describes its function.,"CKEditor 5 text area aria-label is incorrectly overriding the field label, causing confusion for screen reader users. The issue is currently stalled with no recent activity.","Initial report only. The issue involves CKEditor 5 text areas failing to properly announce the field label to screen readers due to the aria-label overwriting it. Several contributors have discussed this, with proposed solutions involving repositioning the aria-label to the field wrapper. No patch or pull request has been actively applied as of this analysis.",Minimal engagement,#1 timohuisman: Filed initial report outlining the aria-label issue. #2 mgifford: Added WCAG 2.2.2 to the discussion. #3 itmaybejj: Suggested placing the aria-label within the field wrapper.,- [WCAG 2.2.2](https://www.w3.org/TR/WCAG22/): Perceivable - Using appropriate ARIA attributes.
3559162,Accessing a toolbar sub-menu seems to result in a keyboard trap,Accessing a toolbar sub-menu seems to result in a keyboard trap,https://www.drupal.org/project/drupal/issues/3559162,drupal,Active,Normal,ckeditor5.module,11.x-dev,1 month 1 day,2.1.2,2.1.2,Users may be unable to navigate away from a toolbar sub-menu when using a keyboard. This prevents keyboard users from continuing their task or accessing other parts of the application.,This issue likely indicates a lack of proper keyboard trap handling within the toolbar sub-menu implementation.  The primary focus should be on ensuring the sub-menu's focus management correctly allows for navigation away after selection.,"The issue reports a potential keyboard trap when navigating a toolbar sub-menu. Charles Belov identified that pressing the escape key twice resolves the issue, although it's not immediately obvious to the user. No patches or further investigation have been undertaken.","Charles Belov reported a potential keyboard trap when accessing toolbar sub-menus. He observed that pressing the escape key twice returns to the toolbar, but users may not be aware of this specific sequence. No patches or technical interventions have been applied.",Minimal engagement,"#1 charles belov: Issue summary:View changesI forgot to test the escape key.It technically isn't a keyboard trap because you can return to the toolbar by pressing the escape key twice.However, you have to know that you need to press the escape key twice and not just once. I can imagine and editor pressing the escape #2 charles belov: Title:Accessing a toolbar sub-menu results in a keyboard trap» Accessing a toolbar sub-menu seems to result in a keyboard trap",- [WCAG 2.2.2 Keyboard Accessible Area Relationships](https://www.w3.org/TR/WCAG22-CR#keyboard-accessible-area-relationships): Relevant WCAG Success Criteria.
1797438,HTML5 validation is preventing form submit and not fully accessible,HTML5 validation is preventing form submit and not fully accessible,https://www.drupal.org/project/drupal/issues/1797438,drupal,Needs work,Major,forms system,11.x-dev,13 years 2 months,3.3.1,3.3.1,"The reported issue indicates a form submission failure potentially caused by HTML5 validation preventing successful form submission. This could result in users being unable to complete a task, leading to frustration and a negative user experience. The accessibility barrier relates to the form’s usability and the user’s ability to interact with the application.",The issue description is extremely vague and requires investigation.  The primary concern is that HTML5 validation is preventing form submission.  This suggests one of several possibilities:,"The accessibility report indicates a broken submit button on various forms, primarily impacting usability for users with disabilities. The issue is currently stalled with no recent activity and requires immediate investigation and resolution.","Initial report only. The accessibility report describes a broken submit button issue across multiple core forms, preventing successful form submission. Patch #184 attempted to address this, but it introduced a new issue with the CKeditor5 library (specifically, #200), further complicating the situation. The issue primarily relates to WCAG 2.2 Success Criteria 3.3.1 (Error detection).",Stalled (no recent activity),#1 socialnicheguru: Filed initial report. #3 skaught: Responded with potential causes. #5 mgifford: Added WCAG 3.3.1 reference. #9 kieran.cott: Submitted patch #184. #10 suresh prabhu parkala: Reported patch failure.,- [WCAG 2.2 Success Criteria 3.3.1](https://www.w3.org/TR/WCAG22/): Error detection guidelines. - [CKeditor5](https://ckeditor.com/ckeditor-5/): Relevant library documentation.
893530,Multi level (multirow) header for table FAPI element,Multi level (multirow) header for table FAPI element,https://www.drupal.org/project/drupal/issues/893530,drupal,Needs review,Normal,theme system,11.x-dev,15 years 4 months,1.3.1,1.3.1,"Users relying on screen readers may experience difficulty interpreting tabular data when multiple header rows are combined into a single, complex structure. This can hinder their ability to understand the relationships between columns and data within the table, leading to a reduced understanding of the table’s content.",The issue describes a problematic table structure where multiple header rows are nested within a single FAPI element. This violates WCAG guidelines regarding tabular data presentation. The core accessibility barrier is a lack of proper semantic structure. Developers should:,"The issue involves a multilevel (multirow) header element in the table FAPI that isn't correctly rendering attributes, particularly in the row indices. The issue is currently stalled with no recent activity.","Initial report only. The issue was flagged concerning the display of attributes within the header cells of a multilevel table. Patch #11 attempts to address this by normalizing the header array indices, but the issue persists. No recent testing or maintenance activity has been observed.",Minimal engagement,#1 kovhan: Created issue #893530. #2 liam morland: Made their first commit to this issue’s fork. #3 kovhan: changed the visibility of the branch893530-multirow-headertoactive.,- [WCAG 2.2.2 Keyboard Accessible Area Relationships](https://www.w3.org/TR/WCAG22/success-criteria-1.4.3): Relevant success criteria.
2912732,Table Drag always showing lines,Table Drag always showing lines,https://www.drupal.org/project/drupal/issues/2912732,drupal,Active,Normal,javascript,11.x-dev,8 years 2 months,General,General,"Users may perceive a visual disruption when table drag functionality consistently displays lines, potentially impacting readability and usability. The precise impact depends on the design and context of the table.",The reported issue – “Table Drag always showing lines” – suggests a visual styling conflict during table drag interactions. This is likely related to CSS layering or styling applied during the drag operation.,"The Table Drag feature consistently displays lines, a visual anomaly impacting accessibility. The issue has received minimal engagement, with only five unique users involved, and no patches or resolutions have been implemented. The next step is a review of the issue to determine if it warrants further investigation.","Users report that the Table Drag feature always displays lines, regardless of settings or actions. Initial reports suggest this is a visual artifact impacting the usability of the drag-and-drop functionality. No patches or pull requests have been created to address this issue. The issue aligns with WCAG 2.2.1 – No Keyboard Traps.",Minimal engagement,#1 kwoxer: Created issue reporting Table Drag always showing lines. #3 BarisW: Marked as Needs review and indicated it isn’t a major issue. #5 kwoxer: Issue summary updated. #6 droplet: Suggested showing lines with drag icon selection; added tag “Regression”. #7 kwoxer: Asked about continued progress on the issue.,- [ARIA](https://www.w3.org/TR/wai-aria/): Accessibility specifications for web applications.
