Issue ID,Issue Title,Description,Issue URL,Project,Status,Priority,Component,Version,Created,wcag_sc,ai_wcag,acr_note,dev_note
3426798,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,https://www.drupal.org/project/drupal/issues/3426798,drupal,Needs work,Normal,ckeditor5.module,11.x-dev,1 year 9 months,General,General,"Users relying on screen readers may experience difficulty identifying and interacting with the CKEditor 5 text area due to the absence of a clear, descriptive `aria-label` attribute. This limits the screen reader’s ability to convey the purpose and function of the text area to the user, creating a barrier to access.","The issue reports a missing `aria-label` for the CKEditor 5 text area. This is a common accessibility concern. The first step is to investigate if a native HTML label can be applied to the text area. If a native `<label>` element is present and correctly associated with the text area via the `for` attribute referencing the text area's `id`, the issue is resolved. If a native label isn't feasible, then implement an `aria-label` attribute. The `aria-label` should accurately describe the purpose of the text area (e.g., ""Insert text here""). Ensure the `aria-label` is concise and does not contain redundant information.  Avoid overly descriptive labels; focus on the user’s intent.  Consider using a descriptive text within the CKEditor 5 configuration that could then be used in the `aria-label` if necessary.  Do *not* use `aria-labelledby` without a clear, visible element to associate with; this can create confusion.  Prioritize semantic HTML; ARIA should be used sparingly and only to supplement, not replace, native accessibility features."
3559162,Accessing a toolbar sub-menu seems to result in a keyboard trap,Accessing a toolbar sub-menu seems to result in a keyboard trap,https://www.drupal.org/project/drupal/issues/3559162,drupal,Active,Normal,ckeditor5.module,11.x-dev,3 weeks 5 days,General,General,"Users may be unable to navigate away from a toolbar sub-menu when accessed via keyboard, resulting in a trapped state. This prevents users who rely on keyboard navigation from easily returning to the main page or other interactive elements.","This issue describes a potential keyboard trap, likely caused by a lack of proper focus management when navigating a toolbar sub-menu. The solution should prioritize semantic HTML."
2975863,Add an exposed filter to the Taxonomy overview view page,Add an exposed filter to the Taxonomy overview view page,https://www.drupal.org/project/drupal/issues/2975863,drupal,Needs work,Normal,taxonomy.module,11.x-dev,7 years 6 months,General,General,Users may be unable to effectively filter and refine the Taxonomy overview view page content if a filter is not implemented. This impacts users with cognitive disabilities who rely on structured content organization and those with screen reader users who require precise control over content navigation.,"The request to “add an exposed filter” is vague. To address this, we need to understand the intended filtering functionality. However, a good starting point is to investigate if the existing Taxonomy overview view page already offers filtering options through native HTML elements like `<select>` or `<input type=""checkbox"">`."
1797438,HTML5 validation is preventing form submit and not fully accessible,HTML5 validation is preventing form submit and not fully accessible,https://www.drupal.org/project/drupal/issues/1797438,drupal,Needs work,Major,forms system,11.x-dev,13 years 2 months,General,General,The form submission is failing due to HTML5 validation preventing successful submission. This impacts users who rely on assistive technologies by preventing them from completing the form and accessing the intended functionality.,...
893530,Multi level (multirow) header for table FAPI element,Multi level (multirow) header for table FAPI element,https://www.drupal.org/project/drupal/issues/893530,drupal,Needs review,Normal,theme system,11.x-dev,15 years 3 months,General,General,"Users with screen reader assistive technology may experience difficulty interpreting tabular data when headers are structured across multiple rows. This impacts the ability to understand the table’s organization and associated data, potentially leading to incomplete or inaccurate understanding.","The issue description identifies a problem with a multi-row header in a table FAPI element. This is a significant accessibility concern. The fundamental issue is that tables should have a single header row. To resolve this, the developer should restructure the table's header to use a single row, containing appropriately sized, logically named cells for each column."
2912732,Table Drag always showing lines,Table Drag always showing lines,https://www.drupal.org/project/drupal/issues/2912732,drupal,Active,Normal,javascript,11.x-dev,8 years 2 months,General,General,"Users may perceive a visual impairment due to the persistent display of table lines, potentially interfering with the ability to accurately interpret tabular data. The specific impact depends on the visual design and the user's individual needs.","The reported issue describes a visual artifact – the consistent display of lines within table structures. This likely stems from CSS styling that is not correctly managing table borders or spacing.  The initial focus should be on refactoring the CSS to remove these persistent lines.  Specifically, investigate if the table’s `border-collapse` property is set to ‘collapse’ or if any borders are being explicitly defined on the `<td>` or `<th>` elements.  Ensure that `border-spacing` is appropriately configured.  Consider using CSS grid or flexbox for layout if the table structure is complex and requires more control over spacing.  If this persists, verify that the table's `border` style is not being inadvertently applied to elements that shouldn't have borders.  Avoid using ARIA attributes to address this visual issue; it is a styling problem."
3093378,Use ARIA disclosure pattern for submenu buttons in vertical toolbar orientation,Use ARIA disclosure pattern for submenu buttons in vertical toolbar orientation,https://www.drupal.org/project/drupal/issues/3093378,drupal,Needs review,Normal,toolbar.module,11.x-dev,6 years 1 month,General,General,"Users relying on screen readers may have difficulty identifying and accessing submenu options presented as buttons within a vertical toolbar. The lack of explicit ARIA attributes can prevent screen readers from correctly announcing the purpose and state of these buttons, leading to a reduced understanding of the navigation structure.","This issue addresses the accessibility of submenu buttons within a vertical toolbar. The primary solution should prioritize semantic HTML.  Specifically, consider using `<button>` elements with appropriate `aria-haspopup` and `aria-expanded` attributes to indicate the presence and state of the submenu."
2958654,Assess JavaScript behaviours for WCAG 2.1 Pointer Cancellation,Assess JavaScript behaviours for WCAG 2.1 Pointer Cancellation,https://www.drupal.org/project/drupal/issues/2958654,drupal,Needs work,Normal,javascript,11.x-dev,7 years 8 months,General,General,"Users relying on keyboard navigation or assistive technologies may experience difficulty interacting with interactive elements if JavaScript behaviours during pointer cancellation are not properly handled. This can lead to a loss of control and frustration, preventing users from completing tasks.","This issue requires a thorough examination of any JavaScript code that modifies the state or behaviour of interactive elements (buttons, form fields, etc.) when the user attempts to cancel a pointer interaction (e.g., by pressing the ""Escape"" key or tapping the screen while dragging). The primary goal is to ensure that the element’s state is correctly reset and the user remains in control."
3348552,"Pager template fails accessibility tests for Ellipsis (""..."")","Pager template fails accessibility tests for Ellipsis (""..."")",https://www.drupal.org/project/drupal/issues/3348552,drupal,Reviewed & tested by the community,Normal,theme system,11.x-dev,2 years 9 months,General,General,Users with screen reader support may encounter difficulty understanding the pagination controls if the ellipsis (...) is not appropriately implemented for accessibility. This prevents users from determining the total number of pages and potentially leads to confusion or difficulty navigating the content.,"The issue report indicates a failure of the pager template against accessibility tests involving ellipsis. To address this, prioritize implementing a clear and accessible pagination mechanism using semantic HTML. Specifically, use `<button>` elements with appropriate ARIA attributes to represent the ""Previous"" and ""Next"" pagination links.  Avoid relying solely on the ellipsis (...) for conveying the total number of pages. If using an ellipsis, ensure it is clearly linked and announced by screen readers."
3174459,W3C Validation: required attribute not allowed on fieldset tag,W3C Validation: required attribute not allowed on fieldset tag,https://www.drupal.org/project/drupal/issues/3174459,drupal,Needs work,Normal,forms system,11.x-dev,5 years 2 months,General,General,"The issue describes a validation failure regarding the use of the `required` attribute on a `<fieldset>` tag. While this may trigger certain validation tools, it doesn't inherently create an accessibility barrier for users. The core accessibility issue is the potential misuse of the `required` attribute to convey form validation messages, which can be confusing and misleading for users relying on assistive technologies.","The W3C Validation failure regarding the `required` attribute on a `<fieldset>` tag is a matter of strict HTML5 validation and doesn't represent a core accessibility issue in itself.  The `required` attribute is not a valid attribute for `<fieldset>`. However, the underlying concern is likely the presentation of form validation messages.  Instead of relying on the `required` attribute, use semantic HTML and ARIA to communicate validation status effectively."
