Issue ID,Issue Title,Description,Issue URL,Project,Status,Priority,Component,Version,Created,wcag_sc,ai_wcag,acr_note,dev_note,thread_tldr,thread_problem,thread_sentiment,thread_timeline,thread_links
19347,WCAG 2.5.2 (Level A) : Actions must not trigger on press or touch down,"## 📝 Provide detailed reproduction steps (if any)

1. …Activate any CKEditor element that has a ""balloon"" interface.
2. …Click anywhere outside of the balloon interface to dismiss it
3. …The balloon interface is dismissed on key/press down, rather than mouse up or finger-lift.

### ✔️ Expected result

The balloon interface is dismissed on mouse up or finger-lift.

### ❌ Actual result

The balloon interface is dismissed on key/press down, rather than mouse up or finger-lift.

### Background
This constitutes a failure a Level A Success Criterion as documented in https://www.w3.org/WAI/WCAG22/Understanding/pointer-cancellation.html

The specific failure is documented in https://www.w3.org/WAI/WCAG22/Techniques/failures/F101 :

> The objective of this Failure is to describe situations where:
> 
>     Controls are set to activate functionality on the down-event of a pointer;
>     No further mechanism to abort or undo is available;
>     The up-event does not reverse the outcome of the activation;
>     It is not essential for the functionality to execute and complete on the down-event.

### Proposed resolution
Change the behavior so that balloons are dismissed on the ""up"" event, rather than the ""down"" event.
",https://github.com/ckeditor/ckeditor5/issues/19347,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-11-07T20:00:09Z,Unknown,2.5.2,"Users who tap or press keys to interact with the CKEditor balloon may inadvertently dismiss it at the moment of the press, causing loss of context or unsaved content and hindering task completion.","1. **Use native semantics** – Wrap the balloon in a `<dialog>` element (or `<div role=""dialog"" aria-modal=""true"">` if `<dialog>` cannot be used) and give it a `tabindex=""0""` so it can receive focus.","A user reports that a CKEditor balloon interface is dismissed on mouse/press‑down instead of mouse‑up, violating WCAG 2.2 pointer‑cancellation guidance. No further discussion or resolution comments are present in the thread.","The balloon interface is dismissed on key/press down rather than mouse up or finger lift, which triggers a failure to the WCAG 2.2 pointer‑cancellation requirement. This causes accidental activation for users who may not intend to dismiss the balloon, particularly those using assistive technologies or non‑mouse input.",Initial report only,#1 reporter: Filed initial accessibility report. No further discussion recorded.,- [WCAG 2.2 Success Criterion 2.5.2 – Pointer Cancellation](https://www.w3.org/WAI/WCAG22/Understanding/pointer-cancellation.html): Defines the requirement that actions must not trigger on press or touch down. - [WCAG 2.2 Failure F101 – Activation on Down‑Event](https://www.w3.org/WAI/WCAG22/Techniques/failures/F101): Describes failure scenarios for activation on down-event.
19163,Link (edit mode) - Bookmarks - not accessible with screen reader,"## 📝 Provide detailed reproduction steps (if any)

1. Open https://ckeditor.com/docs/ckeditor5/latest/features/link.html
2. Insert Link (use button or shorcut)
3. Select ""Bookmarks"" in the balloon panel

### ✔️ Expected result

The screen reader should announce:

- List
- with 2 entries
- Heritage button

### ❌ Actual result

The Screen reader announces:

- List
- Heritage button

### ❓ Possible solution

- Number of elements = 0: Display only an informational text (already implemented).
- Number of elements = 1: Both `<ul>` and `<li>` have the attribute `role=""presentation""` → In screen readers, the button is announced without a list structure.
- Number of elements > 1: `<ul>` and all `<li>` elements have no `role=""presentation""` attribute → In screen readers, the list is announced correctly as a list.

## 📃 Other details

* Browser: Edge 138.0.3351.65
* OS: Windows 11 (10.0.22631 Build 22631)
* Screenrader: JAWS 2024
* First affected CKEditor version: v46.0
* Installed CKEditor plugins: see demo page

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.
",https://github.com/ckeditor/ckeditor5/issues/19163,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-09-25T10:52:26Z,Unknown,1.3.1,"The screen reader fails to announce the single bookmark entry in the CKEditor link editor. When only one bookmark is present, the list and list item are given `role=""presentation""`, causing assistive technologies to treat them as non‑semantic elements and omit the item from the accessibility tree. Users relying on screen readers therefore cannot hear that a bookmark list exists or navigate to the bookmark.",,"The CKEditor 5 link balloon panel fails to announce the list of bookmark entries to JAWS 2024, so users only hear “List” and the “Heritage button.” No follow‑up or resolution has been recorded.","In CKEditor 5, when the Link button is used and the “Bookmarks” option is selected, a screen reader does not announce the list of bookmark items. This omission violates WCAG 2.2 Success Criterion 1.3.1 (Info and Relationships) by failing to convey the information that a list of options is available.",Initial report only,#1 reporter: Filed initial accessibility report with reproduction steps. No further discussion recorded.,
19161,Link (edit mode) - new options - not accessible with screen reader,"## 📝 Provide detailed reproduction steps (if any)

1. Open https://ckeditor.com/docs/ckeditor5/latest/features/link.html
2. Insert Link (use button or shorcut)
3. Navigate to ""Bookmarks"" with ""Tab"" key

### ✔️ Expected result

- The options at the end of the balloon panel should consist only of interactive buttons (no other element types).
- Navigation between these option buttons should be possible only via the Tab key (no arrow-key navigation or other unexpected focus changes).
- When focused (first option), the screen reader should announce: ""Bookmarks button""

### ❌ Actual result

- The options at the end of the balloon panel are implemented as unordered list (`<ul>`).
- Navigation between these options is currently possible using the Tab key as well as the Arrow Up and Arrow Down keys.
- When focus is on the first option, the screen reader announces: ""List"" ""Bookmarks button""

### ❓ Possible solution

- Hide the list structure from assistive technologies by adding `role=""presentation""` to `<ul>` element.
- Remove arrow key (Arrow Up / Arrow Down) navigation between the option buttons so that navigation is only possible via the Tab key.

## 📃 Other details

Alternative implementation suggestion — if the component is intended to behave like a navigation menu:

- Number of elements = 0: Do not display the area (already implemented).
- Number of elements = 1: Both `<ul>` and `<li>` have the attribute `role=""presentation""` → The button is announced by the screen reader without any list structure.
- Number of elements > 1: `<ul>` and all `<li>` elements have no `role=""presentation""` attribute → The list is announced by the screen reader as an actual list.
- Navigation to the list should be done via the Tab key.
- Navigation within the list should be possible only via the Arrow Up / Arrow Down keys (not via Tab).
- Pressing Arrow Right should follow the chevron and trigger the selected option.

* Browser: Edge 138.0.3351.65
* OS: Windows 11 (10.0.22631 Build 22631)
* Screenrader: JAWS 2024
* First affected CKEditor version: v46.0
* Installed CKEditor plugins: see demo page

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.
",https://github.com/ckeditor/ckeditor5/issues/19161,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-09-25T10:47:29Z,Unknown,1.3.1,"Users who rely on screen readers hear the extra announcement “List” before the first option (“Bookmarks button”) because the options are wrapped in an unordered list. This unintended list announcement creates confusion and extra cognitive load, and the use of arrow‑key navigation for the options is inconsistent with the expected tab‑only interaction. The barrier impedes efficient access to the link options, limiting the user’s ability to quickly select and activate the desired option.",,"The link edit mode balloon panel in CKEditor 5 exposes a `<ul>` of options that screen readers announce as “List” and allow arrow‑key navigation, which is not expected for button‑only controls. No further discussion or resolution has been recorded.","The options at the end of the balloon panel are implemented as an unordered list (`<ul>`) that screen readers announce as “List” before the option text, and navigation between options can be performed with both Tab and arrow keys. The expected behavior is that only button elements are present, navigation should be via Tab only, and the screen reader should announce only the button label.",Initial report only,#1 reporter: Filed initial accessibility report. No further discussion recorded.,"- [CKEditor Link Feature](https://ckeditor.com/docs/ckeditor5/latest/features/link.html): Documentation for the link feature in CKEditor 5. - [WAI‑ARIA presentation role](https://www.w3.org/TR/wai-aria/#presentation): Specifies that `role=""presentation""` hides structure from assistive technologies. - [MDN Role presentation](https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Roles/Presentation_Role): Details on using role presentation to hide layout."
19160,Bookmark icon (edit mode) - not accessible with screen reader braille,"## 📝 Provide detailed reproduction steps (if any)

1. Open https://ckeditor.com/docs/ckeditor5/latest/features/bookmarks.html
2. Place cursor before bookmark icon
4. Press the arrow right key

### ✔️ Expected result

- The screen reader braille should ouput the bookmark icon or an alternative text.

### ❌ Actual result

- The Screen reader braille output ""et""

### ❓ Possible solution

- The bookmark icon is a decorative graphic and should stay hidden as it is. 
- Insert a text for screen readers only, e.g.
`   <span aria-label=""Bookmark <name of bookmark>"" class=""sr-only""></span>`

## 📃 Other details

- The div with class=""ck-fake-selection-container"" is not linked to the bookmark, but the screen reader accounces the information.
* Browser: Edge 138.0.3351.65
* OS: Windows 11 (10.0.22631 Build 22631)
* Screenrader: JAWS 2024
* First affected CKEditor version: not shure when it started - seen in v44.3 and later
* Installed CKEditor plugins: see demo page

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.
",https://github.com/ckeditor/ckeditor5/issues/19160,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-09-25T10:40:17Z,Unknown,4.1.2,"The bookmark icon in CKEditor 5’s edit mode is unintentionally exposed to screen readers. When navigating with the arrow keys, JAWS reads an unrelated string (“et”) instead of the intended bookmark reference or alt text, confusing users who rely on braille output.",,"The bookmark icon in CKEditor’s edit mode is announced incorrectly by JAWS 2024—screen readers output “et” instead of the intended bookmark name or an appropriate hidden state. Only the initial report exists, with no follow‑up comments or evidence of a resolution.","In CKEditor’s edit mode the bookmark icon is perceived by screen readers as the non‑text sequence “et” rather than the intended bookmark or a correctly hidden element. The icon lacks a proper accessible name or is not correctly hidden, violating WCAG 2.2 Success Criterion 1.1.1 (Non‑text Content), which requires a text alternative for non‑text content, and potentially 1.3.1 (Info & Relationships) for conveying accurate information.",Initial report only,#1 reporter: Filed initial accessibility report. No further discussion recorded.,- [CKEditor bookmarks documentation](https://ckeditor.com/docs/ckeditor5/latest/features/bookmarks.html): Reference page used in reproduction steps.
19159,Indentations (edit mode) - not accessible with screen readers,"## 📝 Provide detailed reproduction steps (if any)

1. Open https://ckeditor.com/docs/ckeditor5/latest/features/indent.html
2. Place cursor in the header line
4. Press the arrow down key

### ✔️ Expected result

- The screen reader should announce the indentation of the text

### ❌ Actual result

- Screen reader output is as it is with normal text

### ❓ Possible solution

 - Insert a text for screen readers only, e.g.
```
<p style=""margin-left: 20px;"">
   <span class=""sr-only"">Indented content start</span>
   This is the indented text in the paragraph.
  <span class=""sr-only"">Indented content end</span>
</p>
```

## 📃 Other details

* Browser: Edge 138.0.3351.65
* OS: Windows 11 (10.0.22631 Build 22631)
* Screenrader: JAWS 2024
* First affected CKEditor version: not shure when it started - seen in v44.3 and later
* Installed CKEditor plugins: see demo page

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.
",https://github.com/ckeditor/ckeditor5/issues/19159,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-09-25T10:32:48Z,Unknown,1.3.3,"Users who rely on screen readers cannot perceive visual indentation changes while editing content in CKEditor. Because the indentation is not announced, they are unable to discern the intended structural hierarchy or grouping of content, which hampers efficient navigation and comprehension.",,"The CKEditor 5 indentation feature in edit mode does not announce indentation levels to screen readers, creating a barrier for users who rely on audio feedback. Only the initial report has been posted; no further discussion or resolution is documented.","In the CKEditor 5 documentation demo, when a screen reader (JAWS 2024) is used, pressing the arrow key to navigate indentation does not announce the indentation of the text. Users therefore receive no auditory indication of the paragraph’s indented position, which hinders the conveyance of document structure and content relationships.",Initial report only,#1 reporter: Filed initial accessibility report. No further discussion recorded.,- [WCAG 2.2 Success Criteria](https://www.w3.org/TR/WCAG22/): Guidance on making information and relationships perceivable by all users.
19158,Blockquote (edit mode) - not accessible with screen readers,"## 📝 Provide detailed reproduction steps (if any)

1. Open https://ckeditor.com/docs/ckeditor5/latest/features/block-quote.html
2. Place cursor before the block quote
4. Press the arrow down key

### ✔️ Expected result

- The screen reader should announce the block quote when entering the section

### ❌ Actual result

- Screen reader output is as it is with normal text

## 📃 Other details

* Browser: Edge 138.0.3351.65
* OS: Windows 11 (10.0.22631 Build 22631)
* Screenrader: JAWS 2024
* First affected CKEditor version: not shure when it started - seen in v44.3 and later
* Installed CKEditor plugins: see demo page

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.
",https://github.com/ckeditor/ckeditor5/issues/19158,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-09-25T10:29:48Z,Unknown,1.3.1,"When the caret moves into a blockquote while editing in CKEditor, JAWS 2024 does not announce the blockquote; it reads the content as ordinary text. Users lose contextual information, making it difficult to understand that the text is a quotation block, which can lead to confusion or misinterpretation of the document structure.",,"The report states that when a user navigates into a blockquote in CKEditor 5 edit mode, JAWS 2024 does not announce the blockquote and treats it as normal text. No additional discussion, testing, or resolution is recorded in the thread.","In CKEditor 5’s edit mode, the blockquote element lacks an accessible name or semantic indication when the cursor enters it, causing screen‑reader users to be unaware that they are within a blockquote. This omission violates WCAG 2.2 Success Criterion 1.1.1 (Non‑text Content) and likely Success Criterion 1.3.1 (Info and Relationships) because the content’s structural role is not communicated to assistive technologies.",Initial report only,#1 reporter: Filed initial accessibility report with reproduction steps. No further discussion recorded.,- [WCAG 2.2 Success Criterion 1.1.1: Non‑text Content](https://www.w3.org/TR/WCAG22/#non-text-content): Requires that non‑text content be assigned an accessible name or role so that assistive technologies can convey its meaning. - [WCAG 2.2 Success Criterion 1.3.1: Info and Relationships](https://www.w3.org/TR/WCAG22/#info-relationships): Requires that the structure and relationships of content be conveyed to assistive technology users.
19157,Table (edit mode) - not accessible with screen readers,"## 📝 Provide detailed reproduction steps (if any)

1. Open https://ckeditor.com/docs/ckeditor5/latest/features/tables/tables.html
2. Place cursor above the table
4. Press the arrow down key (the horizontal cursor becomes visible)
5. Press the arrow down key (the table receives focus)
6. Press the Tab key (the first cell receives focus)

### ✔️ Expected result

- The screen reader user should receive clear infromation about the current position and available actions.

- The screen reader should announce:
   - ""insert a line before table <caption text>""
   - ""Table with 4 columns and 6 rows""
   - The caption: ""Countries that sent their citizen into space""
   - Braille: r1c1 ""Country""

The help (Alt+0) should provide a hint that tables can be entered using the""Tab"" key.

### ❌ Actual result

- Screen reader output is minimal or unclear:
   - ""t""
   - (silence, no output)
   - Braille: r1c1 ""Country""

Even when reading the help (Alt+0), the users obtains no guidance on how to enter a table. 


## 📃 Other details

* Browser: Edge 138.0.3351.65
* OS: Windows 11 (10.0.22631 Build 22631)
* Screenrader: JAWS 2024
* First affected CKEditor version: not shure when it started - seen in v44.3 and later
* Installed CKEditor plugins: see demo page

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.
",https://github.com/ckeditor/ckeditor5/issues/19157,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-09-25T10:27:09Z,Unknown,3.3.1,"Users navigating CKEditor in table‑edit mode with a screen reader (e.g., JAWS) receive no useful information when the focus moves into a table cell. The screen reader announces only the cell content, and no contextual details about the table, its caption, or available editing actions are announced. This prevents users from understanding the table structure or how to perform table edits.",,"CKEditor’s table editing mode does not provide screen‑reader users with sufficient contextual information or navigation guidance, leading to poor announcements when entering table cells. The issue was reported but no subsequent discussion or resolution is recorded.","When a screen‑reader user navigates into CKEditor’s table editing mode, the assistive technology fails to announce the table’s caption, dimensions, or available actions (e.g., “insert a line before table…”, “Table with 4 columns and 6 rows”). This omission prevents users from understanding their current position within the table and how to interact with it. The problem is consistent with WCAG 2.2 Success Criteria 1.3.1 (Meaningful Sequence) and 2.5.2 (Focus Order), which require that content be presented in a logical order and that focus changes be announced appropriately.",Initial report only,#1 reporter: Filed initial accessibility report with reproduction steps. No further discussion recorded.,- [WCAG 2.2 Success Criterion 1.3.1 – Meaningful Sequence](https://www.w3.org/TR/WCAG22/#meaningful-sequence): Provides guidance on presenting information in a logical order for assistive technology. - [WCAG 2.2 Success Criterion 2.5.2 – Focus Order](https://www.w3.org/TR/WCAG22/#focus-order): Requires that focus navigation follow the logical content sequence.
19153,Link toolbar - aria-label unclear or missleading,"## 📝 Provide detailed reproduction steps (if any)

1. Open https://ckeditor.com/docs/ckeditor5/latest/features/link.html 
2. Use keyboard only: Place cursor on a link
3. Press Alt+F10

### ✔️ Expected result

 - Screenreader output ""Link toolbar Toolbar"" (english)
 - Screenreader output ""Link Werkzeugleiste Symbolleiste"" (deutsch)

### ❌ Actual result

 - Screen reader output ""Editor toolbar Toolbar"" (english)
 - Screenreader output ""Editor Werkzeugleiste Symbolleiste"" (deutsch) 

### ❓ Possible solution

 - Change localization texts from ""Editor"" to ""Link"" for the aria-label of the toolbar

## 📃 Other details

* Browser: Edge 138.0.3351.65
* OS: Windows 11 (10.0.22631 Build 22631)
* Screenrader: JAWS 2024
* First affected CKEditor version: 46.0.0
* Installed CKEditor plugins: see demo page 

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.
",https://github.com/ckeditor/ckeditor5/issues/19153,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-09-24T13:40:52Z,Unknown,4.1.2,"The screen reader announces the toolbar as “Editor toolbar” instead of “Link toolbar,” which misidentifies the context of the toolbar. This confusion prevents users from understanding that the toolbar is specifically for editing a link, affecting efficient navigation and task completion.",,"The issue reports that the screen reader announces “Editor toolbar” for the link toolbar instead of “Link toolbar”, causing misleading labeling. No discussion or resolution has been recorded in the thread.","The link toolbar’s aria-label is incorrectly set to “Editor toolbar”, which mislabels the toolbar for screen‑reader users. This violates WCAG 2.2 Level AA success criterion 4.1.2 – Naming, Identity, and Labeling, which requires accurate accessible names for UI components.",Initial report only,#1 reporter: Filed initial accessibility report. No further discussion recorded.,"- [CKEditor Link Toolbar Documentation](https://ckeditor.com/docs/ckeditor5/latest/features/link.html): Documentation for the link toolbar feature. - [WCAG 2.2 Success Criterion 4.1.2 – Naming, Identity, and Labeling](https://www.w3.org/TR/WCAG22/#name-and-identity): Requirement for correct accessible names."
18898,Aria-label on editing area not updated when editor is in read-only mode,"## 📝 Provide detailed reproduction steps (if any)

Using https://ckeditor.com/docs/ckeditor5/latest/features/read-only.html

1. set editor read only
2. check aria-label on `.ck-content`
 
### ✔️ Expected result

_What is the expected result of the above steps?_

aria-label is something like `Rich Text Editor. Editing area: main. Read only.`

### ❌ Actual result

_What is the actual result of the above steps?_

aria-label is `Rich Text Editor. Editing area: main. Press Alt+0 for help.`

<img width=""1000"" height=""898"" alt=""Image"" src=""https://github.com/user-attachments/assets/ece1cf70-52ae-4970-8ed5-c7082b54b481"" />

### ❓ Possible solution

_If you have ideas, you can list them here. Otherwise, you can delete this section._

Update label when switching read only on/off

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.
",https://github.com/ckeditor/ckeditor5/issues/18898,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-07-25T09:18:54Z,Unknown,4.1.2,Assistive technology users cannot determine that the CKEditor instance is in read‑only mode because the `aria-label` on the editable area does not include the “Read only” status. This omission can lead to confusion when users attempt to interact with the editor and are unaware that input is disabled.,,"Issue reports that the aria-label for CKEditor’s editable area does not update to reflect read‑only status, remaining as “Press Alt+0 for help.” No further comments or resolution are present in the thread.","The aria-label of the CKEditor content area fails to indicate when the editor is switched to read‑only mode, violating the requirement that screen‑reader users receive accurate contextual information about the control’s state. This omission may lead to confusion for users relying on assistive technologies.",Initial report only,#1 reporter: Filed initial accessibility report with reproduction steps. No further discussion recorded.,- [CKEditor 5 Read‑Only Documentation](https://ckeditor.com/docs/ckeditor5/latest/features/read-only.html): Provides details on the read‑only mode behavior.
18561,WCAG 2.2 A: List element `.ck-aria-live-region-list` is empty,"## 📝 Provide detailed reproduction steps (if any)

1. Load the official demo at https://ckeditor.com/ckeditor-5/demo/feature-rich/
2. Inspect the page and look for the `.ck-body-wrapper` beneath the `<body>` element.
3. Inside of the `.ck ck-aria-live-announcer` container are two `aria-live` sections, each containing an `ul` without any items.

### ✔️ Expected result

The list elements should either be dynamically inserted when there is something to announce or be marked as `aria-hidden` while they do not contain any content.

### ❌ Actual result

The lists exists even if there are zero list items.

This is effectively in violation of [SC 1.3.1](https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships.html) of WCAG 2.2 level A which does not permit empty list elements, since at least one element with the (implicit) `listitem` role is required.

## 📃 Other details

* Browser: Chrome 136
* OS: macOS 15.5
* First affected CKEditor version: Unknown
* Installed CKEditor plugins: (Full online demo)

---

If you'd like to see this fixed sooner, add a 👍 reaction to this post.",https://github.com/ckeditor/ckeditor5/issues/18561,ckeditor/ckeditor5,open,Unknown,Unknown,Unknown,2025-05-23T12:42:48Z,Unknown,1.3.1,"The page contains an empty `<ul>` inside an `aria-live` region. An empty list violates WCAG 2.2 Success Criterion 1.3.1 because lists must contain at least one listitem to convey meaningful information. The presence of the empty list can cause confusion for users of assistive technology, potentially making the live region appear to provide content when it does not.",,An empty `<ul>` inside CKEditor’s live region violates WCAG 2.2 SC 1.3.1; only the initial report exists and no follow‑up or fix discussion has been recorded.,"The CKEditor demo’s live region contains `<ul>` elements that remain empty when there is nothing to announce, which is disallowed by WCAG 2.2 Level A success criterion SC 1.3.1 because empty list elements lack at least one `listitem` role.",Initial report only,#1 : Filed the initial accessibility report. No further discussion recorded.,- [WCAG 2.2 SC 1.3.1 – Info and Relationships](https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships.html): The success criterion that disallows empty list elements. - [CKEditor 5 Feature‑Rich Demo](https://ckeditor.com/ckeditor-5/demo/feature-rich/): The page used to reproduce the issue.
