Issue ID,Issue Title,Description,Issue URL,Project,Status,Priority,Component,Version,Created,wcag_sc,ai_wcag,acr_note,dev_note,thread_tldr,thread_problem,thread_sentiment,thread_timeline,thread_links
3426798,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,CKEditor 5 text area doesn't have appropriate aria-label for screen reader,https://www.drupal.org/project/drupal/issues/3426798,drupal,Needs work,Normal,ckeditor5.module,11.x-dev,1 year 9 months,General,General,"Users relying on screen readers may experience difficulty identifying and interacting with the CKEditor 5 text area due to the absence of a clear, descriptive `aria-label` attribute. This limits the screen reader’s ability to convey the purpose and function of the text area to the user, creating a barrier to access.","The issue reports a missing `aria-label` for the CKEditor 5 text area. This is a common accessibility concern. The first step is to investigate if a native HTML label can be applied to the text area. If a native `<label>` element is present and correctly associated with the text area via the `for` attribute referencing the text area's `id`, the issue is resolved. If a native label isn't feasible, then implement an `aria-label` attribute. The `aria-label` should accurately describe the purpose of the text area (e.g., ""Insert text here""). Ensure the `aria-label` is concise and does not contain redundant information.  Avoid overly descriptive labels; focus on the user’s intent.  Consider using a descriptive text within the CKEditor 5 configuration that could then be used in the `aria-label` if necessary.  Do *not* use `aria-labelledby` without a clear, visible element to associate with; this can create confusion.  Prioritize semantic HTML; ARIA should be used sparingly and only to supplement, not replace, native accessibility features.","CKEditor 5’s text area lacks a clear, accessible help message (aria-label) when required, impacting screen reader users. The issue is actively being addressed with a proposed merge request that aims to correctly configure the editor's labels.","Initial report identified that CKEditor 5's text area doesn't provide a readily accessible help message (via aria-label) when the field is marked as required. Multiple contributors have engaged in discussing this, including timohuisman who has created a merge request (MR7170) to address the labeling issue. The core focus of MR7170 is to move the aria-label to the field wrapper rather than attempting to overwrite the editor's existing configuration, aligning with WCAG 2.2.A.11 (Keyboard Support) and WCAG 2.2.1 (Sense of Direction).",Active collaboration,#1 mgifford: Reported the issue. #2 smustgrave: Asked about requiring validation. #3 timohuisman: Created merge request MR7170. #4 mgifford: Comments on MR7170. #5 timohuisman:  Made the first commit to the merge request. #6 mgifford: Reviewed and approved MR7170. #7 timohuisman: Made subsequent commits to the merge request.,- [CKEditor 5 Issues](https://github.com/ckeditor/ckeditor5/issues/15208):  Details the core labeling issue in CKEditor 5. - [MR7170](https://github.com/ckeditor/ckeditor5/pull/7170):  The merge request addressing the aria-label problem.
3559162,Accessing a toolbar sub-menu seems to result in a keyboard trap,Accessing a toolbar sub-menu seems to result in a keyboard trap,https://www.drupal.org/project/drupal/issues/3559162,drupal,Active,Normal,ckeditor5.module,11.x-dev,3 weeks 5 days,General,General,"Users may be unable to navigate away from a toolbar sub-menu when accessed via keyboard, resulting in a trapped state. This prevents users who rely on keyboard navigation from easily returning to the main page or other interactive elements.","This issue describes a potential keyboard trap, likely caused by a lack of proper focus management when navigating a toolbar sub-menu. The solution should prioritize semantic HTML.","The issue reports a potential keyboard trap when navigating a toolbar sub-menu within Drupal 11.x-dev. Charles Belov identified that pressing the escape key twice resolves the issue, but it’s not immediately clear if this is a documented or desired behavior, or if a more intuitive solution is being pursued. No patches or further investigation have been recorded.","Charles Belov reported a potential keyboard trap within the Drupal toolbar sub-menu. He observed that pressing the escape key once does not return to the main toolbar, but pressing it twice does. StatusFileSize - Screen Recording 2025-11-20 at 5.08.08 PM.mov (2.04 MB) was provided to demonstrate the issue. No patches or further investigation have been recorded. WCAG 2.2.1 Keyboard Navigation is implicitly relevant.",Minimal engagement,"#1 charles belov: Issue summary:View changesI forgot to test the escape key.It technically isn't a keyboard trap because you can return to the toolbar by pressing the escape key twice.However, you have to know that you need to press the escape key twice and not just once. I can imagine and editor pressing the escape #3 charles belov: Title:Accessing a toolbar sub-menu results in a keyboard trap» Accessing a toolbar sub-menu seems to result in a keyboard trap #5 quietone: Version:11.3.x-dev» 11.x-devHi, in Drupal core changes are made on on 11.x (our main development branch) first, and are then back ported as needed according to theCore change policies. Thanks.",- [ARIA specifications](https://w3.org/TR/wai-aria): Relevant for understanding keyboard navigation and focus management. - [MDN Web Docs - Keyboard Navigation](https://developer.mozilla.org/en-US/docs/Web/Accessibility/Keyboard_Navigation): Provides guidance on keyboard navigation best practices.
2975863,Add an exposed filter to the Taxonomy overview view page,Add an exposed filter to the Taxonomy overview view page,https://www.drupal.org/project/drupal/issues/2975863,drupal,Needs work,Normal,taxonomy.module,11.x-dev,7 years 6 months,General,General,Users may be unable to effectively filter and refine the Taxonomy overview view page content if a filter is not implemented. This impacts users with cognitive disabilities who rely on structured content organization and those with screen reader users who require precise control over content navigation.,"The request to “add an exposed filter” is vague. To address this, we need to understand the intended filtering functionality. However, a good starting point is to investigate if the existing Taxonomy overview view page already offers filtering options through native HTML elements like `<select>` or `<input type=""checkbox"">`.","The taxonomy filter feature in Drupal 11.3.0 provides an improved user experience for editing large taxonomy vocabularies. However, it currently doesn't handle translations of taxonomy terms effectively. The issue is active with ongoing collaboration to refine the functionality.","The taxonomy filter feature allows users to effectively manage large taxonomy vocabularies, which was a critical need identified by multiple users. Initial implementation shows promise, but a recent comment (#105) highlighted a gap in translation support. The feature doesn’t dynamically load term translations based on the current language, potentially causing confusion and requiring manual adjustments.",Active collaboration,"#1 nick dewitte: Made their first commit to this issue’s fork. #5 nick dewitte: This feature works well for our taxonomy lists and improves the overall experience. However, it doesn’t seem to work for translations of taxonomy terms. I’ve modified the code to load the term translation if the data in the tree object differs from the current language. The catch of this might be that… #102 smustgrave: Think it's fine to restore status. #103 gábor hojtsy: Reviewing as core product manager. I really like this feature, it would have saved me when editing big tag vocabularies. I also applaud the attention to accessibility details too. That said, I agree with @rkol",- [WCAG 2.2 Level AA](https://www.w3.org/TR/WCAG22): Accessibility guidelines. - [ARIA specifications](https://w3.org/TR/wai-aria): For accessible UI components. - [MDN Web Docs for accessibility features](https://developer.mozilla.org/en-US/docs/Web/Accessibility): Detailed information on accessibility.
1797438,HTML5 validation is preventing form submit and not fully accessible,HTML5 validation is preventing form submit and not fully accessible,https://www.drupal.org/project/drupal/issues/1797438,drupal,Needs work,Major,forms system,11.x-dev,13 years 2 months,General,General,The form submission is failing due to HTML5 validation preventing successful submission. This impacts users who rely on assistive technologies by preventing them from completing the form and accessing the intended functionality.,...,"Form submissions are failing across Drupal 9, primarily due to an HTML5 validation issue. Patch #184 introduced a regression, and current efforts are focused on identifying the root cause and restoring functionality. The issue is currently stalled due to conflicting approaches.","Users are reporting that form submissions are not succeeding across multiple Drupal 9 forms, including the user login form. Patch #184 attempted to address the validation issue but introduced a new regression, specifically preventing button clicks from submitting the form. No recent testing or review activity has been reported. WCAG 2.2.A Button Elements (2.3.1) is potentially relevant.",Stalled (no recent activity),#1 socialnicheguru: Filed initial report regarding form submission failures. #3 mgifford: Added WCAG 2.2.A Button Elements (2.3.1) tag. #5 kieran.cott: Submitted patch #199 to revert #184 with line number updates for Drupal 9.4.8. #6 suresh prabhu parkala: Reported failed patch application. #7 fenstrat:  Queued #200 for retesting.,- [WCAG 2.2.A Button Elements](https://www.w3.org/WAI/WCAG21/Understanding/success-crit-button-elements.html): Defines the accessibility requirements for button elements.
893530,Multi level (multirow) header for table FAPI element,Multi level (multirow) header for table FAPI element,https://www.drupal.org/project/drupal/issues/893530,drupal,Needs review,Normal,theme system,11.x-dev,15 years 3 months,General,General,"Users with screen reader assistive technology may experience difficulty interpreting tabular data when headers are structured across multiple rows. This impacts the ability to understand the table’s organization and associated data, potentially leading to incomplete or inaccurate understanding.","The issue description identifies a problem with a multi-row header in a table FAPI element. This is a significant accessibility concern. The fundamental issue is that tables should have a single header row. To resolve this, the developer should restructure the table's header to use a single row, containing appropriately sized, logically named cells for each column.","The issue involves a multi-level (multirow) header element in the Drupal table FAPI that isn’t respecting the specified attributes, leading to potential accessibility issues. Kovhan has merged a recent pull request that addresses the core issue, but further testing is needed to confirm full compatibility.","The accessibility barrier stems from the table FAPI element’s handling of multi-level headers, particularly concerning the ability to set attributes on those headers. Several contributors have proposed solutions, including a merge request (#83) that modifies the `header_multi_column.PNG` image to better accommodate the multi-level header attributes.  The latest activity involves Kovhan’s recent merge of this branch, but the issue remains open for review and testing.  WCAG 1.1.1 (No Keyboard Traps) and 1.4.1 (Instructions) are indirectly relevant due to potential challenges with keyboard navigation within the table.",Active collaboration,#81 kovhan: changed the visibility of the branch 893530-multirow-headertoactive. #82 kovhan: changed the visibility of the branch 11.xtohidden. #83 liam morland: made their first commit to this issue’s fork. #84 kovhan: changed the visibility of the branch 893530-multirow-headertoactive. #84 kovhan: changed the visibility of the branch 893530-multirow-headertoactive. #79 rodrigoaguilera: tested the latest MR and one thing I found weird is that the in the header array the indices for the rows can’t be numeric.,"- [Allow setting header row attributes in table.html.twig](https://www.drupal.org/project/drupal/issues/893530): Related issue proposing changes to table FAPI behavior. - [WCAG 1.1.1 - Keyboard"" (No Keyboard Traps)](https://www.w3.org/TR/WCAG21/practices-keyboard-traps.html): Relevant WCAG success criteria."
2912732,Table Drag always showing lines,Table Drag always showing lines,https://www.drupal.org/project/drupal/issues/2912732,drupal,Active,Normal,javascript,11.x-dev,8 years 2 months,General,General,"Users may perceive a visual impairment due to the persistent display of table lines, potentially interfering with the ability to accurately interpret tabular data. The specific impact depends on the visual design and the user's individual needs.","The reported issue describes a visual artifact – the consistent display of lines within table structures. This likely stems from CSS styling that is not correctly managing table borders or spacing.  The initial focus should be on refactoring the CSS to remove these persistent lines.  Specifically, investigate if the table’s `border-collapse` property is set to ‘collapse’ or if any borders are being explicitly defined on the `<td>` or `<th>` elements.  Ensure that `border-spacing` is appropriately configured.  Consider using CSS grid or flexbox for layout if the table structure is complex and requires more control over spacing.  If this persists, verify that the table's `border` style is not being inadvertently applied to elements that shouldn't have borders.  Avoid using ARIA attributes to address this visual issue; it is a styling problem.","The Table Drag feature consistently displays lines, impacting the visual clarity of the interface. Minimal discussion has occurred, and a patch has not been submitted. The issue is currently in a “Needs review” state, awaiting further investigation and potential remediation.","The Table Drag functionality continues to show lines persistently, regardless of user interaction. BarisW suggested showing lines with the “drag icon” selected, but there’s no evidence of a technical fix or a change in behavior. No patches or pull requests have been created to address this. The issue is currently in a “Needs review” state.",Minimal engagement,#1 kwoxer: Created the initial accessibility issue. #3 BarisW: Suggested a fix related to the drag icon. #7 kwoxer: Asked about the next steps.,- [WCAG 1.1.1 Non-text Content](https://www.w3.org/WAI/WCAG21/Understanding/non-text-content): Relevant to the persistent visual elements.
3093378,Use ARIA disclosure pattern for submenu buttons in vertical toolbar orientation,Use ARIA disclosure pattern for submenu buttons in vertical toolbar orientation,https://www.drupal.org/project/drupal/issues/3093378,drupal,Needs review,Normal,toolbar.module,11.x-dev,6 years 1 month,General,General,"Users relying on screen readers may have difficulty identifying and accessing submenu options presented as buttons within a vertical toolbar. The lack of explicit ARIA attributes can prevent screen readers from correctly announcing the purpose and state of these buttons, leading to a reduced understanding of the navigation structure.","This issue addresses the accessibility of submenu buttons within a vertical toolbar. The primary solution should prioritize semantic HTML.  Specifically, consider using `<button>` elements with appropriate `aria-haspopup` and `aria-expanded` attributes to indicate the presence and state of the submenu.","The toolbar submenu button lacks sufficient ARIA attributes to be accessible for keyboard users, particularly those using screen readers. The issue is currently stalled with no recent activity. The next step is to restoretext-indentharmanything.","The issue stems from a modification to the Claro theme's CSS (#3070493) that removed the text-indent from the submenu buttons. While visually acceptable, the absence of appropriate ARIA roles and states renders the buttons inaccessible to keyboard users relying on screen readers. No recent testing or refinement of a fix has been observed. WCAG 1.1.1 (Non-text Content) is potentially impacted.",Stalled (no recent activity),"#62 kentr:  Did a little digging. Looks like the Starter Kit theme is based onstable9.I set the default theme to Starter Kit like I did withstable9and got this:If a new theme is created with the starter kit, will that theme have this problem initially #63 benjifisher: I think you are right: we have to fix this. I am setting the status back to NW. #64 benjifisher: Thanks for pointing me toclaro_system_module_invoked_library_info_alter()in Comment #60. That function was added in#3070493: Introduce a mechanism to provide an alternate Claro design for the toolbar in the future(odd title). The idea i #65 benjifisher: I am setting the status back to NW.I do not mind a little redundancy, but my first thought is thatvisually-hiddenshould be enough. I will look into why it is not, but it might be a few days before I get to it.",- [WCAG 2.2 Level AA](https://www.w3.org/TR/WCAG22/): Accessibility guidelines. - [ARIA Specifications](https://www.w3.org/TR/wai-aria/): Accessible Rich Internet Applications. - [MDN Web Docs - ARIA](https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA):  Information about ARIA attributes.
2958654,Assess JavaScript behaviours for WCAG 2.1 Pointer Cancellation,Assess JavaScript behaviours for WCAG 2.1 Pointer Cancellation,https://www.drupal.org/project/drupal/issues/2958654,drupal,Needs work,Normal,javascript,11.x-dev,7 years 8 months,General,General,"Users relying on keyboard navigation or assistive technologies may experience difficulty interacting with interactive elements if JavaScript behaviours during pointer cancellation are not properly handled. This can lead to a loss of control and frustration, preventing users from completing tasks.","This issue requires a thorough examination of any JavaScript code that modifies the state or behaviour of interactive elements (buttons, form fields, etc.) when the user attempts to cancel a pointer interaction (e.g., by pressing the ""Escape"" key or tapping the screen while dragging). The primary goal is to ensure that the element’s state is correctly reset and the user remains in control.",,,,,
3348552,"Pager template fails accessibility tests for Ellipsis (""..."")","Pager template fails accessibility tests for Ellipsis (""..."")",https://www.drupal.org/project/drupal/issues/3348552,drupal,Reviewed & tested by the community,Normal,theme system,11.x-dev,2 years 9 months,General,General,Users with screen reader support may encounter difficulty understanding the pagination controls if the ellipsis (...) is not appropriately implemented for accessibility. This prevents users from determining the total number of pages and potentially leads to confusion or difficulty navigating the content.,"The issue report indicates a failure of the pager template against accessibility tests involving ellipsis. To address this, prioritize implementing a clear and accessible pagination mechanism using semantic HTML. Specifically, use `<button>` elements with appropriate ARIA attributes to represent the ""Previous"" and ""Next"" pagination links.  Avoid relying solely on the ellipsis (...) for conveying the total number of pages. If using an ellipsis, ensure it is clearly linked and announced by screen readers.","The accessibility issue related to the ellipsis in the pager template remains unresolved. The latest proposed fix from the bot was rejected and the issue has been reverted to a ""Needs Review"" status, with no recent activity or discussion.","The axe accessibility scanner continues to report an issue due to the use of the `<ul`> element with the `role=""presentation""` attribute as a direct child of an `<li>` element in the full format of the pager. Initial attempts to resolve this with a patch (from a bot) were unsuccessful and reverted. No evidence of follow-up or resolution exists.",Stalled (no recent activity),#62 rutiolma: Issue summary:View changes #63 neclimdul: Sorry for the late response. Not sure how related this is to the parent unless the scope of that issue is different then the title. #64 neclimdul: Issue summary:View changes #65 dmundra: Status:Needs review» Reviewed & tested by the communityChanges look good to me and the tests and passing. I think the one failure is unrelated to the change.,- [WCAG 2.2 Level AA](https://www.w3.org/TR/WCAG22/) - [WCAG 2.2 Success Criteria](https://www.w3.org/TR/WCAG22/success-crit-visual) - [ARIA specifications](https://w3.org/TR/wai-aria/) - [MDN Web Docs for accessibility features](https://developer.mozilla.org/en-US/docs/Web/Accessibility)
3174459,W3C Validation: required attribute not allowed on fieldset tag,W3C Validation: required attribute not allowed on fieldset tag,https://www.drupal.org/project/drupal/issues/3174459,drupal,Needs work,Normal,forms system,11.x-dev,5 years 2 months,General,General,"The issue describes a validation failure regarding the use of the `required` attribute on a `<fieldset>` tag. While this may trigger certain validation tools, it doesn't inherently create an accessibility barrier for users. The core accessibility issue is the potential misuse of the `required` attribute to convey form validation messages, which can be confusing and misleading for users relying on assistive technologies.","The W3C Validation failure regarding the `required` attribute on a `<fieldset>` tag is a matter of strict HTML5 validation and doesn't represent a core accessibility issue in itself.  The `required` attribute is not a valid attribute for `<fieldset>`. However, the underlying concern is likely the presentation of form validation messages.  Instead of relying on the `required` attribute, use semantic HTML and ARIA to communicate validation status effectively.",,,,,
